               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.044922,            0.042502,                   0,             0.74724,             0.74685,             0.86248,             0.42853,            0.042945,            0.045761,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.045084,            0.044362,                   0,             0.88623,             0.90194,             0.95474,             0.46599,            0.043884,            0.044521,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.043686,            0.040913,                   0,             0.50017,             0.70526,             0.65325,             0.30536,            0.052867,            0.047256,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.04527,            0.043072,                   0,             0.72144,             0.77895,             0.83137,             0.41689,            0.044754,            0.045303,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.043527,            0.042584,                   0,             0.85865,             0.77895,             0.90055,             0.47761,            0.044201,            0.043056,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.043038,            0.044335,                   0,             0.87613,             0.89347,             0.93835,             0.47676,            0.038716,             0.04335,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.040375,            0.042689,                   0,             0.57984,             0.75789,             0.70374,             0.36978,            0.046384,            0.043865,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.044947,            0.045835,                   0,             0.97434,              0.7994,             0.93526,             0.47619,            0.041347,            0.043125,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.040488,             0.04097,                   0,             0.90545,             0.80645,             0.91673,             0.44873,            0.039249,            0.042824,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.041336,             0.04136,                   0,             0.90692,             0.93684,             0.95541,             0.51644,            0.040035,            0.042206,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.039918,            0.044186,                   0,             0.64204,             0.74737,             0.73759,             0.30166,            0.047153,            0.045834,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.041484,            0.042643,                   0,             0.65568,             0.74737,             0.77965,             0.38407,              0.0441,            0.043621,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.039921,            0.043924,                   0,             0.84164,             0.91579,             0.91285,             0.49991,            0.040519,            0.044136,                   0,             0.00505,             0.00505,             0.00505
                  52,             0.04031,            0.040486,                   0,             0.94623,             0.91579,             0.96938,             0.54331,            0.036518,            0.042484,                   0,            0.004951,            0.004951,            0.004951
